changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,changepoint_range,seasonality_mode,yearly_seasonality,rmse,mape,mae,num_cutoffs
0.01,10.0,0.1,0.95,additive,True,228.86220101238592,0.08776731745807069,193.69075275712544,14
0.01,10.0,5.0,0.95,additive,True,228.86220101238592,0.08776731745807069,193.69075275712544,14
0.01,10.0,0.01,0.95,additive,True,228.86220101238592,0.08776731745807069,193.69075275712544,14
0.01,10.0,10.0,0.95,additive,True,228.86220101238592,0.08776731745807069,193.69075275712544,14
0.01,10.0,1.0,0.95,additive,True,228.86220101238592,0.08776731745807069,193.69075275712544,14
0.01,10.0,5.0,0.85,additive,True,228.8322528887726,0.08777238194126982,193.70719762204612,14
0.01,10.0,0.1,0.85,additive,True,228.8322528887726,0.08777238194126982,193.70719762204612,14
0.01,10.0,1.0,0.85,additive,True,228.8322528887726,0.08777238194126982,193.70719762204612,14
0.01,10.0,10.0,0.85,additive,True,228.8322528887726,0.08777238194126982,193.70719762204612,14
0.01,10.0,0.01,0.85,additive,True,228.8322528887726,0.08777238194126982,193.70719762204612,14
0.01,10.0,1.0,0.8,additive,True,228.81042588251583,0.08777259875738712,193.7078010587548,14
0.01,10.0,0.01,0.8,additive,True,228.81042588251583,0.08777259875738712,193.7078010587548,14
0.01,10.0,10.0,0.8,additive,True,228.81042588251583,0.08777259875738712,193.7078010587548,14
0.01,10.0,5.0,0.8,additive,True,228.81042588251583,0.08777259875738712,193.7078010587548,14
0.01,10.0,0.1,0.8,additive,True,228.81042588251583,0.08777259875738712,193.7078010587548,14
0.01,10.0,0.01,0.9,additive,True,229.01015088823405,0.08785641943948494,193.88631604749742,14
0.01,10.0,0.1,0.9,additive,True,229.01015088823405,0.08785641943948494,193.88631604749742,14
0.01,10.0,10.0,0.9,additive,True,229.01015088823405,0.08785641943948494,193.88631604749742,14
0.01,10.0,1.0,0.9,additive,True,229.01015088823405,0.08785641943948494,193.88631604749742,14
0.01,10.0,5.0,0.9,additive,True,229.01015088823405,0.08785641943948494,193.88631604749742,14
0.001,1.0,0.01,0.9,additive,True,228.13077282019876,0.0881665784870376,194.75141792814384,14
0.001,1.0,0.1,0.9,additive,True,228.13077282019876,0.0881665784870376,194.75141792814384,14
0.001,1.0,1.0,0.9,additive,True,228.13077282019876,0.0881665784870376,194.75141792814384,14
0.001,1.0,10.0,0.9,additive,True,228.13077282019876,0.0881665784870376,194.75141792814384,14
0.001,1.0,5.0,0.9,additive,True,228.13077282019876,0.0881665784870376,194.75141792814384,14
0.001,1.0,5.0,0.95,additive,True,228.41485870673037,0.08822510723340889,194.82108801530666,14
0.001,1.0,10.0,0.95,additive,True,228.41485870673037,0.08822510723340889,194.82108801530666,14
0.001,1.0,1.0,0.95,additive,True,228.41485870673037,0.08822510723340889,194.82108801530666,14
0.001,1.0,0.1,0.95,additive,True,228.41485870673037,0.08822510723340889,194.82108801530666,14
0.001,1.0,0.01,0.95,additive,True,228.41485870673037,0.08822510723340889,194.82108801530666,14
0.001,1.0,0.1,0.85,additive,True,228.7293814596217,0.08837022968659802,195.117846801404,14
0.001,1.0,10.0,0.85,additive,True,228.7293814596217,0.08837022968659802,195.117846801404,14
