changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,changepoint_range,seasonality_mode,yearly_seasonality,rmse,mape,mae,num_cutoffs
0.1,5.0,1.0,0.95,additive,True,454.32973362757235,0.08819360066976585,328.82807869958276,20
0.1,5.0,0.1,0.95,additive,True,454.32973362757235,0.08819360066976585,328.82807869958276,20
0.1,5.0,5.0,0.95,additive,True,454.32973362757235,0.08819360066976585,328.82807869958276,20
0.1,5.0,10.0,0.95,additive,True,454.32973362757235,0.08819360066976585,328.82807869958276,20
0.1,5.0,0.1,0.85,additive,True,462.61992750068174,0.09013883825871188,339.2272540994322,20
0.1,5.0,10.0,0.85,additive,True,462.61992750068174,0.09013883825871188,339.2272540994322,20
0.1,5.0,1.0,0.85,additive,True,462.61992750068174,0.09013883825871188,339.2272540994322,20
0.1,5.0,5.0,0.85,additive,True,462.61992750068174,0.09013883825871188,339.2272540994322,20
0.1,5.0,0.01,0.85,additive,True,462.61992750068174,0.09013883825871188,339.2272540994322,20
0.1,0.01,0.1,0.85,additive,True,460.3521554496815,0.09014890194667241,338.02230248732576,20
0.1,0.01,0.01,0.85,additive,True,460.3521554496815,0.09014890194667241,338.02230248732576,20
0.1,0.01,1.0,0.85,additive,True,460.3521554496815,0.09014890194667241,338.02230248732576,20
0.1,0.01,5.0,0.85,additive,True,460.3521554496815,0.09014890194667241,338.02230248732576,20
0.1,0.01,10.0,0.85,additive,True,460.3521554496815,0.09014890194667241,338.02230248732576,20
0.1,0.1,10.0,0.95,additive,True,460.01932051849644,0.09110631318105193,340.80197554151624,20
0.1,0.1,0.1,0.95,additive,True,460.01932051849644,0.09110631318105193,340.80197554151624,20
0.1,0.1,1.0,0.95,additive,True,460.01932051849644,0.09110631318105193,340.80197554151624,20
0.1,0.1,0.01,0.95,additive,True,460.01932051849644,0.09110631318105193,340.80197554151624,20
0.1,0.1,5.0,0.95,additive,True,460.01932051849644,0.09110631318105193,340.80197554151624,20
0.1,10.0,10.0,0.85,additive,True,465.42390165732843,0.09143019113332299,343.5561202136523,20
0.1,10.0,1.0,0.85,additive,True,465.42390165732843,0.09143019113332299,343.5561202136523,20
0.1,10.0,0.1,0.85,additive,True,465.42390165732843,0.09143019113332299,343.5561202136523,20
0.1,10.0,5.0,0.85,additive,True,465.42390165732843,0.09143019113332299,343.5561202136523,20
0.1,10.0,0.01,0.85,additive,True,465.42390165732843,0.09143019113332299,343.5561202136523,20
0.1,1.0,0.1,0.95,additive,True,458.65652374169144,0.09258068612395104,344.1995821825133,20
0.1,1.0,0.01,0.95,additive,True,458.65652374169144,0.09258068612395104,344.1995821825133,20
0.1,1.0,5.0,0.95,additive,True,458.65652374169144,0.09258068612395104,344.1995821825133,20
0.1,1.0,10.0,0.95,additive,True,458.65652374169144,0.09258068612395104,344.1995821825133,20
0.1,1.0,1.0,0.95,additive,True,458.65652374169144,0.09258068612395104,344.1995821825133,20
0.1,1.0,5.0,0.85,additive,True,468.94423030762374,0.09289174117584,348.8980191059491,20
0.1,1.0,10.0,0.85,additive,True,468.94423030762374,0.09289174117584,348.8980191059491,20
0.1,1.0,1.0,0.85,additive,True,468.94423030762374,0.09289174117584,348.8980191059491,20
0.1,1.0,0.1,0.85,additive,True,468.94423030762374,0.09289174117584,348.8980191059491,20
0.1,1.0,0.01,0.85,additive,True,468.94423030762374,0.09289174117584,348.8980191059491,20
0.1,0.1,0.01,0.9,additive,True,464.0119665244816,0.09312096902596116,346.56743693743704,20
0.1,0.1,5.0,0.9,additive,True,464.0119665244816,0.09312096902596116,346.56743693743704,20
0.1,0.1,0.1,0.9,additive,True,464.0119665244816,0.09312096902596116,346.56743693743704,20
0.1,0.1,10.0,0.9,additive,True,464.0119665244816,0.09312096902596116,346.56743693743704,20
0.1,0.1,1.0,0.9,additive,True,464.0119665244816,0.09312096902596116,346.56743693743704,20
0.1,1.0,10.0,0.9,additive,True,462.2129692331153,0.09339217937310965,347.6441827262175,20
0.1,1.0,0.01,0.9,additive,True,462.2129692331153,0.09339217937310965,347.6441827262175,20
0.1,1.0,5.0,0.9,additive,True,462.2129692331153,0.09339217937310965,347.6441827262175,20
0.1,1.0,0.1,0.9,additive,True,462.2129692331153,0.09339217937310965,347.6441827262175,20
0.1,1.0,1.0,0.9,additive,True,462.2129692331153,0.09339217937310965,347.6441827262175,20
0.1,0.1,1.0,0.85,additive,True,470.744385441302,0.09365235968806465,351.63039951760936,20
0.1,0.1,5.0,0.85,additive,True,470.744385441302,0.09365235968806465,351.63039951760936,20
0.1,0.1,0.01,0.85,additive,True,470.744385441302,0.09365235968806465,351.63039951760936,20
0.1,0.1,10.0,0.85,additive,True,470.744385441302,0.09365235968806465,351.63039951760936,20
0.1,0.1,0.1,0.85,additive,True,470.744385441302,0.09365235968806465,351.63039951760936,20
0.5,0.01,1.0,0.9,additive,True,479.50168229523456,0.09481277911019338,346.6935391349614,20
0.5,0.01,0.01,0.9,additive,True,479.50168229523456,0.09481277911019338,346.6935391349614,20
0.5,0.01,0.1,0.9,additive,True,479.50168229523456,0.09481277911019338,346.6935391349614,20
0.5,0.01,5.0,0.9,additive,True,479.50168229523456,0.09481277911019338,346.6935391349614,20
0.5,0.01,10.0,0.9,additive,True,479.50168229523456,0.09481277911019338,346.6935391349614,20
0.5,0.01,0.01,0.8,additive,True,474.29961286497576,0.09482534561762919,356.7370246173358,20
0.5,0.01,1.0,0.8,additive,True,474.29961286497576,0.09482534561762919,356.7370246173358,20
0.5,0.01,5.0,0.8,additive,True,474.29961286497576,0.09482534561762919,356.7370246173358,20
0.5,0.01,10.0,0.8,additive,True,474.29961286497576,0.09482534561762919,356.7370246173358,20
0.5,0.01,0.1,0.8,additive,True,474.29961286497576,0.09482534561762919,356.7370246173358,20
0.1,5.0,0.1,0.9,additive,True,472.90013790111647,0.09487444640376973,352.34355099640715,20
0.1,5.0,0.01,0.9,additive,True,472.90013790111647,0.09487444640376973,352.34355099640715,20
0.1,5.0,10.0,0.9,additive,True,472.90013790111647,0.09487444640376973,352.34355099640715,20
0.1,5.0,5.0,0.9,additive,True,472.90013790111647,0.09487444640376973,352.34355099640715,20
0.1,5.0,1.0,0.9,additive,True,472.90013790111647,0.09487444640376973,352.34355099640715,20
0.1,10.0,1.0,0.9,additive,True,474.3542298702937,0.09610858490152877,357.49719545864167,20
0.1,10.0,0.1,0.9,additive,True,474.3542298702937,0.09610858490152877,357.49719545864167,20
0.1,10.0,0.01,0.9,additive,True,474.3542298702937,0.09610858490152877,357.49719545864167,20
0.1,10.0,10.0,0.9,additive,True,474.3542298702937,0.09610858490152877,357.49719545864167,20
0.1,10.0,5.0,0.9,additive,True,474.3542298702937,0.09610858490152877,357.49719545864167,20
0.05,0.01,10.0,0.95,additive,True,482.5996112386828,0.09848085254948628,373.6296658487381,20
0.05,0.01,5.0,0.95,additive,True,482.5996112386828,0.09848085254948628,373.6296658487381,20
0.05,0.01,1.0,0.95,additive,True,482.5996112386828,0.09848085254948628,373.6296658487381,20
0.05,0.01,0.1,0.95,additive,True,482.5996112386828,0.09848085254948628,373.6296658487381,20
0.05,0.01,0.01,0.95,additive,True,482.5996112386828,0.09848085254948628,373.6296658487381,20
0.5,0.01,0.1,0.95,additive,True,515.3945805021106,0.09925465247098388,359.50280591550285,20
0.5,0.01,5.0,0.95,additive,True,515.3945805021106,0.09925465247098388,359.50280591550285,20
0.5,0.01,0.01,0.95,additive,True,515.3945805021106,0.09925465247098388,359.50280591550285,20
0.5,0.01,10.0,0.95,additive,True,515.3945805021106,0.09925465247098388,359.50280591550285,20
0.5,0.01,1.0,0.95,additive,True,515.3945805021106,0.09925465247098388,359.50280591550285,20
0.1,0.01,0.01,0.8,additive,True,492.1882068130787,0.1003075425662036,380.0376912850233,20
0.1,0.01,1.0,0.8,additive,True,492.1882068130787,0.1003075425662036,380.0376912850233,20
